bid,ask,spread,time
0.4769,23.307,-22.830099999999998,1659983793.7462363
15.6941,3.0339,12.6602,1659983795.3016543
24.6144,1.7711,22.8433,1659983796.8846436
24.895,5.6332,19.2618,1659983798.5126674
16.1633,6.8568,9.3065,1659983800.115167
11.051,6.2756,4.7754,1659983801.9755106
10.9963,6.6784,4.3179,1659983803.7173538
14.421,5.515,8.905999999999999,1659983805.309194
13.5637,4.7583,8.8054,1659983806.9266357
18.3586,1.74,16.6186,1659983808.5079122
11.7786,6.4105,5.368100000000001,1659983810.0778215
16.0389,5.293,10.745900000000002,1659983811.6808493
12.0906,5.2671,6.8235,1659983813.2647982
10.203,6.9665,3.2364999999999995,1659983815.3612025
1.5641,31.5602,-29.9961,1659983816.9799318
0.2902,34.0609,-33.7707,1659983818.7671025
12.4334,17.7024,-5.269,1659983820.8579683
24.8008,0.8773,23.923499999999997,1659983822.4121275
12.4136,7.4611,4.952500000000001,1659983824.4537044
4.487,11.9511,-7.4641,1659983826.0284042
3.0719,13.7668,-10.6949,1659983827.5936806
0.0446,18.9533,-18.9087,1659983829.2005973
15.2974,8.685,6.612399999999999,1659983831.0348763
19.581,5.1107,14.4703,1659983832.6946619
7.4735,3.8323,3.6411999999999995,1659983834.2383084
22.2852,0.1,22.1852,1659983835.8204856
48.3323,0.0702,48.2621,1659983837.407132
51.0151,0.3336,50.6815,1659983838.9522264
6.9409,9.7746,-2.8336999999999994,1659983840.5223982
1.9084,12.7612,-10.8528,1659983842.0860915
7.6271,16.4194,-8.7923,1659983843.6525598
6.2263,18.2301,-12.0038,1659983845.2900107
4.2652,18.4823,-14.217099999999999,1659983846.8479362
3.3133,24.734,-21.420700000000004,1659983848.4266644
2.3542,25.74,-23.3858,1659983850.0397503
4.4309,22.7859,-18.355,1659983851.6204739
0.5285,26.0509,-25.522399999999998,1659983853.1884718
0.0788,25.8085,-25.729699999999998,1659983854.7718034
2.5935,21.1464,-18.5529,1659983856.3504453
7.7055,5.5272,2.1783,1659983857.9784417
11.3525,4.7886,6.563899999999999,1659983859.5434856
18.0967,0.2318,17.8649,1659983861.1086216
32.1875,2.6967,29.4908,1659983862.6849875
30.9031,1.4749,29.428199999999997,1659983864.2489033
4.5289,12.9462,-8.4173,1659983865.8410378
2.9931,16.8181,-13.825000000000001,1659983867.4520214
1.7249,20.8692,-19.144299999999998,1659983869.2973428
2.4779,21.7384,-19.2605,1659983870.8574266
6.5347,11.5224,-4.987699999999999,1659983872.4524975
5.5195,11.9224,-6.4029,1659983874.012876
5.5453,11.9255,-6.380199999999999,1659983875.5451558
3.4633,18.0716,-14.6083,1659983877.1566775
9.5568,7.816,1.740800000000001,1659983878.6984348
13.7332,6.4176,7.3156,1659983880.270368
20.3212,4.0749,16.2463,1659983881.8381128
10.9208,5.5158,5.405,1659983883.6224105
7.7787,10.4179,-2.6391999999999998,1659983886.025468
26.1363,3.9668,22.1695,1659983887.6146834
4.2497,5.5012,-1.2515,1659983889.1999145
0.9644,11.6621,-10.697700000000001,1659983890.8273296
2.332,16.5913,-14.2593,1659983892.4303598
0.3097,40.9069,-40.5972,1659983894.0651715
1.7554,47.7696,-46.014199999999995,1659983895.6550918
18.0131,0.1618,17.851300000000002,1659983897.2323964
34.674,0.1831,34.490899999999996,1659983899.3409176
18.202,1.3677,16.834300000000002,1659983900.9660614
19.0817,0.2103,18.8714,1659983902.6278238
0.4437,10.5086,-10.0649,1659983904.1993673
20.4468,0.1627,20.2841,1659983905.9373765
12.352,5.3146,7.0374,1659983907.570481
7.2942,7.7813,-0.48709999999999987,1659983909.3525286
18.9631,2.2373,16.7258,1659983910.904019
22.2287,1.0308,21.1979,1659983912.6189876
17.5272,6.575,10.952200000000001,1659983914.187652
4.9079,11.7454,-6.8375,1659983915.7566326
22.6957,8.6388,14.056899999999999,1659983917.4170182
2.3258,13.5384,-11.212599999999998,1659983919.0960886
2.3294,18.0743,-15.744900000000001,1659983920.688682
2.048,15.2389,-13.1909,1659983922.2752721
19.1218,1.6318,17.490000000000002,1659983923.9021025
11.6738,6.5597,5.1141,1659983927.1725893
6.4223,12.8417,-6.4193999999999996,1659983928.7461216
9.0982,13.3342,-4.235999999999999,1659983930.3948393
5.8538,0.7656,5.0882,1659983931.9873846
7.9168,13.3903,-5.4735,1659983933.5804613
0.5502,29.2999,-28.7497,1659983935.2015076
12.5562,4.26,8.2962,1659983937.308507
3.6133,12.066,-8.4527,1659983939.1204884
1.0832,14.5261,-13.4429,1659983940.6928053
0.0191,0.025,-0.0059000000000000025,1659983943.445185
0.2,0.1618,0.03820000000000001,1659983945.0323968
20.4357,3.5157,16.92,1659983946.9297895
8.253,8.6648,-0.4117999999999995,1659983948.5900466
1.0857,22.0801,-20.994400000000002,1659983950.1848211
3.4645,40.9947,-37.5302,1659983951.7393987
2.7852,31.9978,-29.212600000000002,1659983953.5297594
4.3682,29.754,-25.385800000000003,1659983955.1857395
3.7341,30.7941,-27.06,1659983956.7867165
0.5052,30.8469,-30.341700000000003,1659983958.3965735
0.5001,3.431,-2.9309000000000003,1659983959.993511
17.7331,4.627,13.106100000000001,1659983961.6375413
12.1519,4.6817,7.470199999999999,1659983963.2047493
14.7246,3.9971,10.727500000000001,1659983964.771174
15.4987,3.56,11.938699999999999,1659983966.3264096
19.769,2.5012,17.267799999999998,1659983967.8768277
